* Measurement data measured by REW V5.31.3
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2025, 8:21:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: IR window: 0ms left, 2ms right
* Measurement: Piega black dot
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 1000.1221 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1000.122070, 51.938, -84.7005
1007.369367, 51.871, -85.3829
1014.669181, 51.746, -86.3329
1022.021892, 51.569, -87.3442
1029.427884, 51.348, -88.3128
1036.887543, 51.084, -89.1868
1044.401257, 50.778, -89.9318
1051.969419, 50.427, -90.5148
1059.592423, 50.028, -90.8966
1067.270667, 49.577, -91.0264
1075.004550, 49.070, -90.8372
1082.794476, 48.504, -90.2386
1090.640851, 47.875, -89.1075
1098.544084, 47.185, -87.2747
1106.504588, 46.439, -84.5087
1114.522776, 45.657, -80.5006
1122.599068, 44.881, -74.8696
1130.733883, 44.191, -67.2367
1138.927647, 43.707, -57.4524
1147.180786, 43.564, -45.9779
1155.493731, 43.844, -34.0601
1163.866915, 44.514, -23.1982
1172.300774, 45.453, -14.3237
1180.795749, 46.526, -7.5904
1189.352282, 47.635, -2.7107
1197.970819, 48.723, 0.7126
1206.651809, 49.762, 3.0337
1215.395706, 50.740, 4.5278
1224.202964, 51.655, 5.3987
1233.074043, 52.509, 5.7948
1242.009406, 53.305, 5.8250
1251.009518, 54.047, 5.5697
1260.074849, 54.739, 5.0894
1269.205871, 55.385, 4.4303
1278.403060, 55.990, 3.6280
1287.666895, 56.556, 2.7110
1296.997860, 57.086, 1.7020
1306.396441, 57.582, 0.6196
1315.863129, 58.046, -0.5207
1325.398415, 58.480, -1.7057
1335.002798, 58.886, -2.9240
1344.676779, 59.267, -4.1656
1354.420861, 59.622, -5.4214
1364.235553, 59.953, -6.6831
1374.121366, 60.261, -7.9429
1384.078816, 60.546, -9.1934
1394.108422, 60.810, -10.4276
1404.210706, 61.054, -11.6383
1414.386196, 61.279, -12.8185
1424.635421, 61.485, -13.9614
1434.958917, 61.673, -15.0596
1445.357221, 61.843, -16.1061
1455.830875, 61.997, -17.0933
1466.380426, 62.135, -18.0137
1477.006423, 62.260, -18.8594
1487.709420, 62.372, -19.6228
1498.489976, 62.471, -20.2957
1509.348652, 62.561, -20.8704
1520.286014, 62.640, -21.3394
1531.302633, 62.712, -21.6955
1542.399084, 62.778, -21.9322
1553.575943, 62.841, -22.0445
1564.833795, 62.902, -22.0283
1576.173226, 62.965, -21.8820
1587.594827, 63.034, -21.6060
1599.099193, 63.110, -21.2039
1610.686925, 63.198, -20.6826
1622.358626, 63.299, -20.0524
1634.114906, 63.416, -19.3274
1645.956376, 63.552, -18.5253
1657.883654, 63.708, -17.6666
1669.897363, 63.885, -16.7744
1681.998127, 64.084, -15.8730
1694.186579, 64.305, -14.9869
1706.463354, 64.547, -14.1396
1718.829091, 64.808, -13.3527
1731.284435, 65.086, -12.6448
1743.830035, 65.379, -12.0312
1756.466547, 65.684, -11.5231
1769.194627, 65.999, -11.1283
1782.014941, 66.321, -10.8506
1794.928156, 66.647, -10.6908
1807.934945, 66.973, -10.6469
1821.035987, 67.298, -10.7144
1834.231964, 67.618, -10.8874
1847.523565, 67.934, -11.1582
1860.911483, 68.243, -11.5183
1874.396414, 68.545, -11.9585
1887.979063, 68.838, -12.4695
1901.660138, 69.122, -13.0415
1915.440351, 69.396, -13.6650
1929.320422, 69.661, -14.3306
1943.301073, 69.916, -15.0291
1957.383033, 70.162, -15.7519
1971.567038, 70.398, -16.4907
1985.853825, 70.624, -17.2379
2000.244141, 70.840, -17.9865
2014.738734, 71.048, -18.7302
2029.338362, 71.247, -19.4635
2044.043784, 71.439, -20.1816
2058.855768, 71.625, -20.8808
2073.775085, 71.806, -21.5580
2088.802515, 71.983, -22.2114
2103.938839, 72.157, -22.8400
2119.184847, 72.327, -23.4438
2134.541334, 72.495, -24.0235
2150.009100, 72.660, -24.5808
2165.588952, 72.824, -25.1180
2181.281703, 72.987, -25.6379
2197.088169, 73.150, -26.1435
2213.009176, 73.313, -26.6380
2229.045552, 73.476, -27.1244
2245.198135, 73.640, -27.6053
2261.467766, 73.802, -28.0825
2277.855294, 73.964, -28.5571
2294.361573, 74.123, -29.0290
2310.987462, 74.279, -29.4969
2327.733830, 74.432, -29.9583
2344.601549, 74.583, -30.4091
2361.591498, 74.730, -30.8442
2378.704564, 74.873, -31.2569
2395.941638, 75.013, -31.6399
2413.303618, 75.151, -31.9847
2430.791411, 75.286, -32.2826
2448.405928, 75.420, -32.5250
2466.148086, 75.555, -32.7039
2484.018812, 75.692, -32.8125
2502.019036, 75.834, -32.8464
2520.149698, 75.983, -32.8039
2538.411741, 76.143, -32.6874
2556.806119, 76.315, -32.5035
2575.333790, 76.504, -32.2642
2593.995721, 76.711, -31.9865
2612.792883, 76.940, -31.6927
2631.726257, 77.193, -31.4087
2650.796830, 77.470, -31.1638
2670.005597, 77.771, -30.9881
2689.353558, 78.094, -30.9111
2708.841723, 78.436, -30.9600
2728.471106, 78.794, -31.1577
2748.242733, 79.163, -31.5226
2768.157633, 79.541, -32.0671
2788.216844, 79.922, -32.7985
2808.421412, 80.304, -33.7187
2828.772392, 80.681, -34.8250
2849.270843, 81.051, -36.1108
2869.917834, 81.410, -37.5666
2890.714441, 81.756, -39.1802
2911.661750, 82.086, -40.9379
2932.760851, 82.398, -42.8248
2954.012845, 82.689, -44.8249
2975.418840, 82.960, -46.9219
2996.979951, 83.207, -49.0994
3018.697304, 83.431, -51.3406
3040.572029, 83.631, -53.6289
3062.605267, 83.806, -55.9479
3084.798167, 83.958, -58.2813
3107.151886, 84.086, -60.6132
3129.667590, 84.192, -62.9281
3152.346451, 84.275, -65.2112
3175.189653, 84.337, -67.4480
3198.198386, 84.379, -69.6254
3221.373850, 84.403, -71.7311
3244.717253, 84.410, -73.7545
3268.229812, 84.402, -75.6863
3291.912752, 84.380, -77.5195
3315.767309, 84.347, -79.2488
3339.794726, 84.305, -80.8717
3363.996255, 84.255, -82.3875
3388.373159, 84.200, -83.7979
3412.926707, 84.141, -85.1061
3437.658181, 84.081, -86.3168
