* Measurement data measured by REW V5.31.3
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2025, 8:25:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: IR window: 0ms left, 2ms right
* Measurement: Piega
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 1000.1221 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1000.122070, 54.383, 88.0662
1000.488281, 54.379, 88.0081
1000.854492, 54.375, 87.9501
1001.220703, 54.370, 87.8922
1001.586914, 54.366, 87.8343
1001.953125, 54.362, 87.7766
1002.319336, 54.357, 87.7190
1002.685547, 54.353, 87.6616
1003.051758, 54.348, 87.6041
1003.417969, 54.343, 87.5467
1003.784180, 54.339, 87.4895
1004.150391, 54.334, 87.4323
1004.516602, 54.329, 87.3756
1004.882813, 54.324, 87.3185
1005.249024, 54.319, 87.2619
1005.615235, 54.314, 87.2052
1005.981446, 54.309, 87.1486
1006.347657, 54.304, 87.0920
1006.713868, 54.299, 87.0357
1007.080079, 54.293, 86.9795
1007.446290, 54.288, 86.9232
1007.812501, 54.282, 86.8672
1008.178712, 54.277, 86.8114
1008.544923, 54.271, 86.7555
1008.911134, 54.266, 86.7000
1009.277344, 54.260, 86.6442
1009.643555, 54.254, 86.5889
1010.009766, 54.248, 86.5335
1010.375977, 54.242, 86.4784
1010.742188, 54.236, 86.4232
1011.108399, 54.230, 86.3683
1011.474610, 54.224, 86.3135
1011.840821, 54.218, 86.2586
1012.207032, 54.211, 86.2041
1012.573243, 54.205, 86.1497
1012.939454, 54.199, 86.0951
1013.305665, 54.192, 86.0409
1013.671876, 54.186, 85.9868
1014.038087, 54.179, 85.9330
1014.404298, 54.172, 85.8790
1014.770509, 54.166, 85.8252
1015.136720, 54.159, 85.7716
1015.502931, 54.152, 85.7182
1015.869142, 54.145, 85.6648
1016.235353, 54.138, 85.6116
1016.601564, 54.131, 85.5585
1016.967775, 54.124, 85.5056
1017.333986, 54.117, 85.4529
1017.700197, 54.110, 85.4001
1018.066408, 54.103, 85.3475
1018.432619, 54.095, 85.2952
1018.798830, 54.088, 85.2430
1019.165041, 54.080, 85.1909
1019.531252, 54.073, 85.1388
1019.897463, 54.065, 85.0872
1020.263674, 54.058, 85.0354
1020.629884, 54.050, 84.9840
1020.996095, 54.042, 84.9324
1021.362306, 54.034, 84.8813
1021.728517, 54.026, 84.8302
1022.094728, 54.018, 84.7791
1022.460939, 54.010, 84.7283
1022.827150, 54.002, 84.6778
1023.193361, 53.994, 84.6273
1023.559572, 53.985, 84.5769
1023.925783, 53.977, 84.5267
1024.291994, 53.968, 84.4768
1024.658205, 53.960, 84.4270
1025.024416, 53.951, 84.3772
1025.390627, 53.942, 84.3278
1025.756838, 53.934, 84.2783
1026.123049, 53.925, 84.2292
1026.489260, 53.916, 84.1800
1026.855471, 53.907, 84.1312
1027.221682, 53.898, 84.0824
1027.587893, 53.889, 84.0339
1027.954104, 53.879, 83.9855
1028.320315, 53.870, 83.9372
1028.686526, 53.861, 83.8893
1029.052737, 53.851, 83.8414
1029.418948, 53.842, 83.7937
1029.785159, 53.832, 83.7462
1030.151370, 53.822, 83.6988
1030.517581, 53.813, 83.6517
1030.883792, 53.803, 83.6048
1031.250003, 53.793, 83.5579
1031.616214, 53.783, 83.5113
1031.982424, 53.773, 83.4647
1032.348635, 53.763, 83.4185
